Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,TenureGroup,CustomerMood
1,4,Phone,3,6,Debit Card,3,3,Laptop & Accessory,2,9,1,11,1,1,5,159.93,New (0-6 Bulan),Tidak Puas & Ada Komplain
1,9,Phone,1,8,UPI,3,4,Mobile Phone,3,7,1,15,0,1,0,120.9,Established (6-12 Bulan),Tidak Puas & Ada Komplain
1,9,Phone,1,30,Debit Card,2,4,Mobile Phone,3,6,1,14,0,1,3,120.28,Established (6-12 Bulan),Tidak Puas & Ada Komplain
1,0,Phone,3,15,Debit Card,2,4,Laptop & Accessory,5,8,0,23,0,1,3,134.07,New (0-6 Bulan),Puas & No Komplain
1,0,Phone,1,12,Credit Card,3,3,Mobile Phone,5,3,0,11,1,1,3,129.6,New (0-6 Bulan),Puas & No Komplain
1,0,Computer,1,22,Debit Card,3,5,Mobile Phone,5,2,1,22,4,6,7,139.19,New (0-6 Bulan),Puas & Ada Komplain
1,9,Phone,3,11,COD,2,3,Laptop & Accessory,2,4,0,14,0,1,0,120.86000000000001,Established (6-12 Bulan),Tidak Puas & No Komplain
1,9,Phone,1,6,Credit Card,3,3,Mobile Phone,2,3,1,16,2,2,0,122.93,Established (6-12 Bulan),Tidak Puas & Ada Komplain
1,13,Phone,3,9,E-Wallet,3,4,Mobile Phone,3,2,1,14,0,1,2,126.83000000000001,Loyal (>12 Bulan),Tidak Puas & Ada Komplain
1,9,Phone,1,31,Debit Card,2,5,Mobile Phone,3,2,0,12,1,1,1,122.93,Established (6-12 Bulan),Tidak Puas & No Komplain
1,4,Phone,1,18,COD,2,3,Others,3,2,0,15,9,15,8,295.45,New (0-6 Bulan),Tidak Puas & No Komplain
1,11,Phone,1,6,Debit Card,3,4,Fashion,3,10,1,13,0,1,0,153.81,Established (6-12 Bulan),Tidak Puas & Ada Komplain
1,0,Phone,1,11,COD,2,3,Mobile Phone,3,2,1,13,2,2,2,134.41,New (0-6 Bulan),Tidak Puas & Ada Komplain
1,0,Phone,1,15,Credit Card,3,4,Mobile Phone,3,1,1,17,0,1,0,133.88,New (0-6 Bulan),Tidak Puas & Ada Komplain
1,9,Phone,3,15,Credit Card,3,4,Fashion,2,2,0,16,0,4,7,196.19,Established (6-12 Bulan),Tidak Puas & No Komplain
1,9,Phone,2,12,UPI,3,3,Mobile Phone,5,5,1,22,1,1,2,120.72999999999999,Established (6-12 Bulan),Puas & Ada Komplain
1,0,Computer,1,12,Debit Card,3,4,Mobile Phone,2,2,1,18,1,1,0,129.26,New (0-6 Bulan),Tidak Puas & Ada Komplain
1,0,Phone,3,11,E-Wallet,2,4,Laptop & Accessory,3,2,1,11,1,1,3,157.44,New (0-6 Bulan),Tidak Puas & Ada Komplain
1,0,Computer,1,13,Debit Card,3,5,Laptop & Accessory,3,2,1,24,1,1,6,160.74,New (0-6 Bulan),Tidak Puas & Ada Komplain
1,19,Phone,1,20,Debit Card,3,3,Mobile Phone,4,10,1,18,1,4,3,149.63,Loyal (>12 Bulan),Puas & Ada Komplain
1,0,Phone,3,12,Debit Card,3,5,Laptop & Accessory,3,5,1,18,6,7,7,161.72,New (0-6 Bulan),Tidak Puas & Ada Komplain
1,20,Phone,1,29,Credit Card,3,3,Fashion,2,2,0,12,11,15,6,203.12,Loyal (>12 Bulan),Tidak Puas & No Komplain
1,9,Phone,3,28,E-Wallet,2,3,Mobile Phone,3,2,1,19,0,1,0,116.75,Established (6-12 Bulan),Tidak Puas & Ada Komplain
1,0,Phone,3,26,Debit Card,3,5,Laptop & Accessory,3,4,1,11,1,2,2,145.59,New (0-6 Bulan),Tidak Puas & Ada Komplain
1,14,Computer,1,14,Debit Card,2,5,Fashion,2,3,0,15,0,1,3,206.5,Loyal (>12 Bulan),Tidak Puas & No Komplain
1,0,Phone,1,15,Credit Card,2,3,Mobile Phone,5,8,0,22,1,1,4,142.0,New (0-6 Bulan),Puas & No Komplain
0,8,Phone,3,6,E-Wallet,3,3,Fashion,4,2,0,13,1,1,6,172.95,Established (6-12 Bulan),Puas & No Komplain
0,9,Phone,3,12,E-Wallet,2,3,Laptop & Accessory,3,3,1,20,0,4,5,123.06,Established (6-12 Bulan),Tidak Puas & Ada Komplain
0,18,Phone,1,14,Debit Card,2,3,Laptop & Accessory,4,9,0,18,1,1,15,123.47999999999999,Loyal (>12 Bulan),Puas & No Komplain
0,5,Computer,3,14,E-Wallet,2,3,Fashion,2,2,0,14,2,3,7,189.98,New (0-6 Bulan),Tidak Puas & No Komplain
0,2,Computer,1,6,COD,2,3,Laptop & Accessory,3,2,0,13,0,1,9,143.19,New (0-6 Bulan),Tidak Puas & No Komplain
0,0,Phone,1,13,Credit Card,2,4,Laptop & Accessory,3,3,0,17,1,1,0,161.32,New (0-6 Bulan),Tidak Puas & No Komplain
0,30,Phone,1,15,Credit Card,3,4,Mobile Phone,4,5,1,20,1,1,0,133.46,Loyal (>12 Bulan),Puas & Ada Komplain
0,13,Phone,3,10,E-Wallet,3,4,Fashion,2,8,0,11,2,2,11,208.55,Loyal (>12 Bulan),Tidak Puas & No Komplain
